stn;time;hns010mx;hns000m0;hto000m0;rre150m0;rsd010m0;rsd100m0;rs1000m0
ZWE;201301;-;33;5;66.8;9;2;0
ZWE;201302;-;119;27;105.3;11;3;0
ZWE;201303;-;42;10;69.2;13;3;0
ZWE;201304;8;8;0;92.9;9;4;0
ZWE;201305;0;0;0;163.2;18;4;0
ZWE;201306;0;0;0;101.3;10;4;0
ZWE;201307;-;-;-;105.9;11;3;0
ZWE;201308;-;0;0;68.8;9;3;0
ZWE;201309;0;0;0;140.8;13;4;0
ZWE;201310;0;0;0;108.6;11;6;0
ZWE;201311;-;27;3;134.3;14;5;0
ZWE;201312;-;17;7;42.1;4;1;0
ZWE;201401;41;47;9;83.6;11;3;0
ZWE;201402;52;48;13;105.2;11;6;0
ZWE;201403;16;14;2;23.7;4;1;0
ZWE;201404;-;2;0;111.5;10;3;0
ZWE;201405;-;0;0;124.3;16;5;0
ZWE;201406;0;0;0;86.8;12;2;0
ZWE;201407;-;-;0;273.6;20;9;0
ZWE;201408;-;0;0;175.4;20;7;0
ZWE;201409;0;0;0;46.1;7;2;0
ZWE;201410;1;1;0;67.3;9;3;0
ZWE;201411;4;4;0;79.5;9;4;0
ZWE;201412;50;56;4;76.4;8;2;0
ZWE;201501;62;81;12;119.8;18;4;0
ZWE;201502;91;50;33;48.3;7;1;0
ZWE;201503;-;-;5;110.4;11;4;0
ZWE;201504;2;2;0;86.5;10;4;0
ZWE;201505;1;1;0;194.2;15;7;0
ZWE;201506;0;0;0;137.0;15;5;0
ZWE;201507;-;-;-;68.8;7;3;0
ZWE;201508;-;0;0;101.6;11;4;0
ZWE;201509;-;0;0;65.7;12;2;0
ZWE;201510;-;0;0;64.6;8;2;0
ZWE;201511;32;32;3;92.4;8;2;0
ZWE;201512;25;0;1;15.8;5;0;0
ZWE;201601;-;-;-;139.6;17;5;0
ZWE;201602;-;-;-;112.8;16;5;0
ZWE;201603;-;-;-;47.8;9;1;0
ZWE;201604;-;-;-;102.5;12;2;0
ZWE;201605;-;-;-;205.1;14;9;0
ZWE;201606;-;-;-;180.2;22;5;0
ZWE;201607;-;-;-;199.9;16;8;0
ZWE;201608;-;-;-;92.8;8;3;0
ZWE;201609;-;-;-;66.7;5;3;0
ZWE;201610;-;-;-;69.7;8;2;0
ZWE;201611;-;-;-;100.6;12;4;0
ZWE;201612;-;-;-;0.4;0;0;0
ZWE;201701;-;-;-;57.0;8;1;0
ZWE;201702;-;-;-;75.3;13;3;0
ZWE;201703;-;-;-;124.9;10;5;0
ZWE;201704;-;-;-;67.3;11;2;0
ZWE;201705;-;-;-;130.1;15;6;0
ZWE;201706;-;-;-;129.2;11;5;0
ZWE;201707;-;-;-;114.6;14;5;0
ZWE;201708;-;-;-;110.3;10;5;0
ZWE;201709;-;-;-;63.9;10;3;0
ZWE;201710;-;-;-;54.5;9;2;0
ZWE;201711;-;-;-;98.9;10;4;0
ZWE;201712;-;-;-;133.8;16;5;0
ZWE;201801;-;-;-;261.6;14;8;0
ZWE;201802;-;-;-;45.7;7;1;0
ZWE;201803;-;-;-;92.1;14;2;0
ZWE;201804;-;-;-;41.2;5;1;0
ZWE;201805;-;-;-;141.4;18;6;0
ZWE;201806;-;-;-;52.2;7;1;0
ZWE;201807;-;-;-;44.5;7;1;0
ZWE;201808;-;-;-;178.7;13;7;0
ZWE;201809;-;-;-;69.6;7;3;0
ZWE;201810;-;-;-;40.2;4;3;0
ZWE;201811;-;-;-;13.9;4;0;0
ZWE;201812;-;-;-;195.3;16;7;0
ZWE;201901;-;-;-;86.4;9;2;0
ZWE;201902;-;-;-;40.4;6;2;0
ZWE;201903;-;-;-;95.4;12;2;0
ZWE;201904;-;-;-;57.4;7;2;0
ZWE;201905;-;-;-;128.7;16;5;0
ZWE;201906;-;-;-;109.2;11;3;0
ZWE;201907;-;-;-;138.6;10;6;0
ZWE;201908;-;-;-;169.2;11;6;0
ZWE;201909;-;-;-;28.0;5;1;0
ZWE;201910;-;-;-;103.0;15;3;0
ZWE;201911;-;-;-;106.2;14;3;0
ZWE;201912;-;-;-;112.7;14;6;0
ZWE;202001;-;-;-;32.7;5;1;0
ZWE;202002;-;-;-;114.8;14;5;0
ZWE;202003;-;-;-;70.2;9;3;0
ZWE;202004;-;-;-;45.7;4;1;0
ZWE;202005;-;-;-;50.0;8;1;0
ZWE;202006;-;-;-;101.4;15;3;0
ZWE;202007;-;-;-;66.1;8;2;0
ZWE;202008;-;-;-;213.3;13;8;0
ZWE;202009;-;-;-;63.7;6;3;0
ZWE;202010;-;-;-;110.6;11;3;0
ZWE;202011;-;-;-;22.8;5;0;0
ZWE;202012;-;-;-;66.9;15;1;0
ZWE;202101;-;-;-;163.4;16;6;0
ZWE;202102;-;-;-;40.8;7;2;0
ZWE;202103;-;-;-;73.0;8;3;0
ZWE;202104;-;-;-;34.8;7;1;0
ZWE;202105;-;-;-;188.5;17;8;0
ZWE;202106;-;-;-;185.9;17;8;0
ZWE;202107;-;-;-;228.6;17;9;0
ZWE;202108;-;-;-;98.7;9;5;0
ZWE;202109;-;-;-;70.5;9;2;0
ZWE;202110;-;-;-;22.2;5;0;0
ZWE;202111;-;-;-;30.6;8;1;0
ZWE;202112;-;-;-;144.7;14;5;0
ZWE;202201;-;-;-;35.3;5;1;0
ZWE;202202;-;-;-;83.6;12;3;0
ZWE;202203;-;-;-;16.2;3;1;0
ZWE;202204;-;-;-;56.7;10;2;0
ZWE;202205;-;-;-;73.2;6;3;0
ZWE;202206;-;-;-;109.2;12;4;0
ZWE;202207;-;-;-;47.6;6;1;0
ZWE;202208;-;-;-;92.5;7;4;0
ZWE;202209;-;-;-;153.5;16;3;0
ZWE;202210;-;-;-;76.7;9;3;0
