,ARS1_exrate,AUD1_exrate,BRL100_exrate,CAD1_exrate,CNY100_exrate,CZK100_exrate,DKK100_exrate,EUR1_exrate,GBP1_exrate,HKD100_exrate,HUF100_exrate,JPY100_exrate,KRW100_exrate,MXN100_exrate,MYR100_exrate,NOK100_exrate,NZD1_exrate,PLN100_exrate,RUB1_exrate,SEK100_exrate,SGD1_exrate,THB100_exrate,TRY100_exrate,USD1_exrate,ZAR1_exrate,DATE
0,18.677,0.97002,45.4609,0.9318,14.70635,4.8106,16.4561,1.228,1.4768,11.91839,0.4183,1.03952,0.0866,7.2761,30.3561,16.6422,0.7734,29.6748,0.0306,14.2378,0.7524,3.0718,52.14739,0.9241,0.1053,2013-01-01
1,18.373,0.94904,46.565,0.9124,14.6638,4.8282,16.4835,1.2298,1.4248,11.86465,0.4201,0.98851,0.0846,7.237,29.681,16.5575,0.7719,29.4755,0.0305,14.4525,0.743,3.0849,51.7865,0.9202,0.1034,2013-02-01
2,18.601,0.97811,47.6333,0.9232,15.08571,4.7802,16.449,1.2264,1.427,12.19293,0.4047,0.99828,0.0857,7.5629,30.4143,16.3814,0.7834,29.5119,0.0307,14.6938,0.759,3.2053,52.27762,0.946,0.1029,2013-03-01
3,18.2045,0.97392,46.7773,0.9204,14.99827,4.7199,16.3614,1.2198,1.4347,12.07996,0.4081,0.9596,0.0836,7.68,30.755,16.1736,0.7947,29.4618,0.0299,14.4532,0.7575,3.2227,52.15591,0.9377,0.1029,2013-04-01
4,18.2396,0.94584,46.9391,0.9358,15.42609,4.7912,16.6452,1.2406,1.4611,12.30295,0.4239,0.94755,0.0858,7.7709,31.6087,16.3978,0.7875,29.6791,0.0305,14.4665,0.7649,3.2076,52.30783,0.955,0.1022,2013-05-01
5,17.5165,0.88095,43.03,0.9061,15.1227,4.7894,16.527,1.2326,1.4463,12.03865,0.4168,0.95879,0.0823,7.223,29.707,15.932,0.7384,28.784,0.0289,14.208,0.7415,3.0308,49.2425,0.9343,0.0932,2013-06-01
6,17.39,0.86651,42.0217,0.908,15.31109,4.7661,16.5796,1.2364,1.435,12.18619,0.4193,0.94857,0.0839,7.4152,29.6017,15.6865,0.7457,28.9122,0.0289,14.2813,0.7452,3.0369,48.92739,0.9452,0.0953,2013-07-01
7,16.6145,0.83677,39.5909,0.8904,15.0055,4.7779,16.5382,1.2334,1.4354,11.94533,0.4119,0.94646,0.083,7.1791,28.2518,15.5386,0.7333,29.1668,0.0281,14.1791,0.728,2.9311,47.265,0.9264,0.092,2013-08-01
8,16.1238,0.85774,40.6476,0.8923,14.99871,4.7841,16.5424,1.2338,1.4653,11.91932,0.4117,0.93145,0.0852,7.0724,28.4295,15.4805,0.7518,29.1286,0.0283,14.2229,0.7315,2.915,45.79286,0.9244,0.0926,2013-09-01
9,15.4478,0.85901,41.2087,0.8711,14.70383,4.7976,16.5083,1.2314,1.4533,11.6418,0.4176,0.92307,0.0846,6.9391,28.4143,15.1526,0.7529,29.3813,0.0281,14.0739,0.7257,2.8917,45.42,0.9027,0.091,2013-10-01
10,15.1938,0.85132,39.7667,0.8707,14.877,4.5876,16.5162,1.2319,1.4693,11.77358,0.4138,0.91271,0.0858,6.9829,28.5162,14.9957,0.7542,29.4033,0.0279,13.8624,0.7315,2.8838,45.08762,0.9128,0.0895,2013-11-01
11,14.1386,0.80291,37.95,0.8404,14.60436,4.4528,16.4168,1.2249,1.4656,11.53211,0.4086,0.8639,0.0846,6.8764,27.4809,14.555,0.7349,29.3395,0.0272,13.6627,0.71,2.7599,43.34682,0.8942,0.0862,2013-12-01
12,12.9522,0.7999,37.9565,0.8269,14.80174,4.4824,16.5017,1.2312,1.4884,11.64653,0.4077,0.86826,0.0846,6.84,27.3361,14.6557,0.7473,29.463,0.0268,13.9222,0.7098,2.7431,40.68957,0.9035,0.0831,2014-01-01
13,11.3795,0.80233,37.51,0.8092,14.6223,4.45,16.367,1.2213,1.4801,11.52652,0.394,0.8764,0.0835,6.728,27.0265,14.607,0.7418,29.2505,0.0254,13.7675,0.7062,2.7406,40.4325,0.8942,0.0815,2014-02-01
14,11.121,0.80025,37.8143,0.7932,14.34595,4.4452,16.3138,1.2178,1.4646,11.35247,0.3909,0.8611,0.0822,6.6729,26.8352,14.6824,0.7519,28.9871,0.0244,13.7319,0.6952,2.7199,39.73429,0.8811,0.0819,2014-03-01
15,11.0277,0.82247,39.4955,0.8027,14.34323,4.4403,16.3277,1.2191,1.4779,11.38129,0.3968,0.8607,0.0846,6.7559,27.1009,14.7691,0.7597,29.1305,0.0247,13.4836,0.7031,2.7301,41.46682,0.8826,0.0837,2014-04-01
16,11.0486,0.82653,39.9727,0.8153,14.42173,4.4474,16.3505,1.2204,1.4964,11.45411,0.4008,0.87245,0.0866,6.8645,27.4859,14.9541,0.7643,29.1945,0.0255,13.5195,0.7094,2.73,42.44273,0.888,0.0853,2014-05-01
17,11.0286,0.8392,40.0762,0.827,14.55052,4.4362,16.33,1.2181,1.5147,11.55842,0.3982,0.87791,0.0879,6.8995,27.8248,14.83,0.7725,29.4529,0.026,13.4038,0.7159,2.7553,42.28143,0.896,0.0839,2014-06-01
18,10.9978,0.84218,40.3652,0.8361,14.58257,4.4244,16.2939,1.215,1.5316,11.57258,0.3922,0.88186,0.0878,6.9109,28.173,14.4757,0.7795,29.3126,0.0258,13.1583,0.7217,2.7932,42.32609,0.8969,0.0841,2014-07-01
19,10.9538,0.84672,40.1048,0.8327,14.76962,4.3579,16.2548,1.2119,1.5201,11.73871,0.3862,0.88371,0.0888,6.92,28.6295,14.6819,0.7675,28.9138,0.0252,13.189,0.7288,2.8419,42.09143,0.9098,0.0853,2014-08-01
20,11.1127,0.84705,40.2182,0.8501,15.21673,4.3754,16.2218,1.2077,1.5254,12.06497,0.3856,0.87239,0.0903,7.0705,29.0664,14.7595,0.7618,28.8173,0.0246,13.1327,0.7406,2.9052,42.30545,0.9354,0.0852,2014-09-01
21,11.2296,0.83638,38.9043,0.8494,15.50278,4.3777,16.2222,1.2078,1.5308,12.27818,0.3924,0.88157,0.0897,7.073,29.1257,14.5361,0.7504,28.7165,0.0233,13.1578,0.7473,2.9337,42.23696,0.9526,0.0861,2014-10-01
22,11.3295,0.83351,37.89,0.8508,15.6972,4.3451,16.16,1.2026,1.5219,12.43904,0.3919,0.82948,0.0878,7.088,28.7995,14.158,0.755,28.5465,0.0209,13.016,0.7437,2.9394,43.1265,0.9646,0.0869,2014-11-01
23,11.4187,0.80502,36.9304,0.846,15.95091,4.3498,16.1609,1.2024,1.5256,12.5837,0.3865,0.8171,0.0885,6.7287,28.0352,13.3726,0.7575,28.4648,0.0174,12.7835,0.7418,2.9638,42.55565,0.9759,0.0849,2014-12-01
24,11.0173,0.75979,35.7409,0.7857,15.41714,3.9589,14.8409,1.0983,1.4241,12.20181,0.3468,0.79378,0.0869,6.3832,26.2382,12.3145,0.7197,25.775,0.0147,11.7118,0.7081,2.8821,40.67091,0.9422,0.0813,2015-01-01
25,10.773,0.72853,33.285,0.7477,15.25755,3.8464,14.2605,1.0623,1.4328,12.05854,0.3461,0.78817,0.0849,6.274,25.978,12.3235,0.6966,25.4235,0.0146,11.1955,0.69,2.8701,37.986,0.9353,0.0808,2015-02-01
26,11.1595,0.75735,31.3045,0.7769,15.93818,3.8741,14.2232,1.0609,1.4679,12.62967,0.3498,0.81381,0.0879,6.4364,26.6036,12.2782,0.7312,25.7023,0.0163,11.485,0.7114,3.0008,37.82545,0.9798,0.0812,2015-03-01
27,10.8527,0.74287,31.5273,0.7781,15.65341,3.7829,13.9055,1.0382,1.4362,12.41342,0.3466,0.80464,0.0885,6.3227,26.4759,12.1745,0.7291,25.785,0.0182,11.1318,0.7128,2.9572,36.2,0.9621,0.0801,2015-04-01
28,10.4057,0.73516,30.5333,0.7656,15.25,3.7937,13.9376,1.0398,1.4401,12.01701,0.3396,0.77161,0.0852,6.1048,25.8543,12.3586,0.6884,25.4862,0.0184,11.1805,0.6981,2.7784,35.2119,0.9316,0.0778,2015-05-01
29,10.2968,0.71895,29.9091,0.754,15.23964,3.8244,14.005,1.0448,1.4495,12.01814,0.3348,0.75341,0.0837,6.0218,24.9195,11.9291,0.6511,25.105,0.0171,11.2655,0.6924,2.7615,34.42682,0.9319,0.0756,2015-06-01
30,10.4217,0.70652,29.6652,0.7423,15.60343,3.8698,14.0552,1.0488,1.4828,12.2932,0.3368,0.77238,0.0831,5.9804,25.0617,11.7348,0.6338,25.2443,0.0166,11.1783,0.7,2.7744,35.28913,0.953,0.0765,2015-07-01
31,10.47,0.7061,27.6476,0.7364,15.3691,3.9865,14.4452,1.0782,1.5102,12.48798,0.3461,0.78583,0.082,5.8543,23.8567,11.7362,0.6339,25.701,0.0147,11.3314,0.6923,2.7323,33.95381,0.9681,0.075,2015-08-01
32,10.3759,0.68602,25.0091,0.7328,15.26914,4.0299,14.6345,1.0918,1.4918,12.5369,0.3488,0.80906,0.0819,5.7732,22.58,11.7273,0.6153,25.8818,0.0146,11.6186,0.6868,2.6972,32.21773,0.9716,0.0713,2015-09-01
33,10.2259,0.69806,24.9364,0.7408,15.25045,4.0125,14.5818,1.0879,1.4847,12.49221,0.3497,0.80682,0.0845,5.8395,22.7564,11.7127,0.6477,25.605,0.0153,11.6423,0.6912,2.7125,33.06727,0.9681,0.0717,2015-10-01
34,10.4914,0.72153,26.6571,0.7602,15.86776,4.0042,14.5176,1.083,1.5332,13.01549,0.3469,0.82297,0.0873,6.0667,23.3876,11.689,0.6619,25.4848,0.0155,11.6286,0.7135,2.8173,35.08238,1.0087,0.0714,2015-11-01
35,9.11,0.72187,25.6957,0.7271,15.425,4.0066,14.517,1.083,1.4925,12.8466,0.3447,0.81812,0.0848,5.8465,23.2522,11.4609,0.6718,25.2574,0.0142,11.7196,0.7068,2.7637,34.09435,0.9958,0.0665,2015-12-01
36,7.4229,0.70618,24.8238,0.7076,15.38371,4.0412,14.6357,1.0932,1.4501,12.92541,0.3477,0.85025,0.0836,5.6005,23.1757,11.3819,0.6576,24.82,0.0131,11.7752,0.7019,2.7811,33.43619,1.0054,0.0616,2016-01-01
37,6.7633,0.70807,25.0333,0.7189,15.18605,4.0749,14.7648,1.1018,1.4214,12.76198,0.3554,0.86551,0.0816,5.3862,23.7424,11.5319,0.6585,25.0557,0.0129,11.7205,0.7067,2.7884,33.7281,0.993,0.063,2016-02-01
38,6.5774,0.7364,26.5296,0.7424,15.07735,4.0364,14.6457,1.0921,1.3975,12.66932,0.351,0.87058,0.083,5.5696,24.1552,11.577,0.6616,25.4478,0.014,11.7652,0.7156,2.7905,34.03913,0.9833,0.0637,2016-03-01
39,6.6895,0.73899,27.1,0.7509,14.87981,4.0435,14.6867,1.0931,1.379,12.42746,0.3509,0.87581,0.084,5.5124,24.7124,11.7281,0.6643,25.3724,0.0145,11.8748,0.714,2.747,33.97571,0.964,0.0659,2016-04-01
40,6.9145,0.71507,27.6864,0.7557,14.98445,4.0896,14.8595,1.1054,1.42,12.58771,0.3515,0.89737,0.0831,5.3923,24.1495,11.8741,0.6646,25.0895,0.0149,11.8982,0.7135,2.7585,33.26864,0.9772,0.0638,2016-05-01
41,6.88,0.71772,28.2682,0.7523,14.72073,4.0285,14.6586,1.0901,1.38,12.4978,0.3473,0.9202,0.083,5.2005,23.7664,11.6777,0.6821,24.7786,0.0149,11.6823,0.7162,2.7483,33.26,0.97,0.0643,2016-06-01
42,6.5967,0.7395,29.9476,0.7534,14.70981,4.0186,14.6067,1.0867,1.2917,12.66086,0.3456,0.94376,0.0859,5.2857,24.4262,11.5976,0.7005,24.7048,0.0153,11.4705,0.7269,2.8011,33.15381,0.9821,0.0681,2016-07-01
43,6.54,0.74053,30.2304,0.7468,14.61139,4.0241,14.617,1.0876,1.2728,12.512,0.3505,0.95842,0.0873,5.2478,24.093,11.6826,0.7022,25.2743,0.0149,11.4596,0.7202,2.7952,32.75435,0.9703,0.0706,2016-08-01
44,6.4541,0.73961,29.9727,0.7444,14.59509,4.0416,14.6659,1.0922,1.282,12.561,0.3538,0.95602,0.0878,5.0873,23.6859,11.8741,0.7125,25.2668,0.0151,11.4168,0.7163,2.8045,32.82455,0.9743,0.0694,2016-09-01
45,6.4962,0.75175,30.9381,0.7453,14.6759,4.0273,14.6267,1.0883,1.2185,12.72032,0.3546,0.95084,0.0876,5.2214,23.6319,12.0867,0.7063,25.2629,0.0158,11.2214,0.7131,2.8133,32.0719,0.9867,0.0708,2016-10-01
46,6.4991,0.75085,29.7818,0.7406,14.57818,3.979,14.46,1.0759,1.2374,12.84192,0.3485,0.92071,0.0855,4.9618,22.9545,11.8477,0.7123,24.5223,0.0155,10.925,0.7061,2.8175,30.32591,0.9958,0.0715,2016-11-01
47,6.4318,0.74822,30.3318,0.7636,14.73886,3.9785,14.4627,1.0754,1.2719,13.13666,0.3446,0.87818,0.086,4.9682,22.8141,11.9077,0.7173,24.2427,0.0165,11.0741,0.7098,2.8466,29.14318,1.0193,0.0735,2016-12-01
48,6.3405,0.75088,31.4955,0.7633,14.63364,3.9643,14.4077,1.0713,1.2439,13.00397,0.3467,0.87646,0.0853,4.7205,22.6195,11.9,0.7174,24.5173,0.0169,11.2655,0.7055,2.8432,26.87773,1.0086,0.0743,2017-01-01
49,6.4225,0.76768,32.255,0.7646,14.5826,3.9447,14.337,1.0659,1.2509,12.91038,0.3456,0.88628,0.0876,4.9305,22.538,12.027,0.7235,24.7345,0.0172,11.2525,0.708,2.8608,27.314,1.0017,0.0759,2017-02-01
50,6.4487,0.76364,32.0435,0.7486,14.538,3.9619,14.3996,1.0706,1.2365,12.90316,0.3457,0.88704,0.0883,5.187,22.5774,11.7843,0.7018,24.9613,0.0173,11.2365,0.713,2.8721,27.29739,1.0021,0.0776,2017-03-01
51,6.5255,0.75416,31.915,0.7457,14.53885,3.9959,14.4175,1.0723,1.2637,12.87353,0.3442,0.90895,0.0882,5.3395,22.7155,11.67,0.6978,25.2885,0.0177,11.178,0.7157,2.904,27.386,1.0008,0.0743,2017-04-01
52,6.2935,0.73357,30.8087,0.7252,14.3327,4.0955,14.6474,1.0897,1.2754,12.67364,0.3515,0.87907,0.0875,5.2557,22.8543,11.6,0.685,25.9274,0.0173,11.2309,0.7073,2.862,27.64174,0.9867,0.0743,2017-05-01
53,6.0136,0.73176,29.4045,0.7277,14.23155,4.1401,14.6214,1.0875,1.239,12.41427,0.3528,0.87316,0.0855,5.3373,22.6286,11.4491,0.6996,25.83,0.0167,11.1491,0.6997,2.8469,27.50091,0.9682,0.0751,2017-06-01
54,5.6062,0.74848,29.9333,0.7549,14.19876,4.2377,14.8648,1.1054,1.2475,12.30242,0.3604,0.85384,0.0847,5.3838,22.3895,11.7576,0.7061,26.091,0.0161,11.53,0.7001,2.8464,26.95095,0.9607,0.0731,2017-07-01
55,5.5348,0.76367,30.5957,0.7652,14.46622,4.3639,15.3209,1.1396,1.2513,12.33549,0.3746,0.87818,0.0852,5.4161,22.5191,12.2257,0.7048,26.7117,0.0162,11.9322,0.7088,2.9003,27.4787,0.9648,0.0729,2017-08-01
56,5.5829,0.76699,30.7048,0.7829,14.66752,4.397,15.4152,1.1468,1.2797,12.31497,0.3719,0.86942,0.0849,5.3952,22.8286,12.2876,0.6979,26.8505,0.0167,12.03,0.7127,2.9028,27.69762,0.9622,0.0732,2017-09-01
57,5.6318,0.76435,30.7727,0.78,14.83391,4.4774,15.5086,1.1542,1.2958,12.57775,0.3724,0.86936,0.0866,5.2218,23.2091,12.2791,0.6913,27.0591,0.017,12.0068,0.7217,2.9542,26.69818,0.9817,0.0717,2017-10-01
58,5.6691,0.7561,30.3909,0.7769,14.97659,4.5577,15.6468,1.1643,1.3116,12.71043,0.3734,0.87919,0.09,5.2377,23.795,12.1209,0.6832,27.5364,0.0168,11.8264,0.7316,3.0144,25.49182,0.9919,0.0704,2017-11-01
59,5.5971,0.75532,29.9429,0.7726,14.97162,4.5523,15.6962,1.169,1.3237,12.62995,0.3736,0.87375,0.091,5.1543,24.1952,11.8662,0.688,27.7971,0.0169,11.7629,0.7329,3.0227,25.67524,0.9869,0.0753,2017-12-01
