,stn,time,tnd00xm0,tnd00nm0,tnd30xm0,rre150m0,rsd100m0,rs1000m0,tre200m0,tre2dymx,tre2dymn
0,MMSAA,201608,0,0,0,90.6,4,0,16.4,23.0,10.2
1,MMSAA,201609,0,0,0,56.0,2,0,13.5,19.8,8.2
2,MMSAA,201610,0,12,0,68.2,3,0,5.7,11.1,1.5
3,MMSAA,201611,4,24,0,-,-,-,1.7,5.6,-2.2
4,MMSAA,201612,19,30,0,0.2,0,0,-4.4,-0.5,-6.8
5,MMSAA,201701,23,30,0,52.6,2,0,-8.0,-3.4,-12.0
6,MMSAA,201702,0,27,0,62.2,2,0,-0.3,5.1,-4.2
7,MMSAA,201703,0,17,0,118.8,3,0,4.7,11.0,-0.4
8,MMSAA,201704,-,-,-,-,-,-,6.3,12.9,0.2
9,MMSAA,201705,-,-,-,-,-,-,-,-,-
10,MMSAA,201706,0,0,0,123.0,6,0,17.1,23.4,10.8
11,MMSAA,201707,0,0,0,116.8,6,0,17.0,23.1,11.1
12,MMSAA,201708,0,0,0,117.6,5,0,16.6,23.3,10.4
13,MMSAA,201709,0,0,0,77.0,3,0,9.9,15.8,5.1
14,MMSAA,201710,0,4,0,70.8,3,0,7.2,14.5,2.2
15,MMSAA,201711,6,24,0,113.2,3,0,-0.7,3.5,-3.9
16,MMSAA,201712,16,28,0,171.4,5,0,-4.8,-1.0,-8.5
17,MMSAA,201801,2,25,0,296.4,9,0,-0.3,3.7,-3.1
18,MMSAA,201802,11,26,0,71.8,3,0,-4.0,0.4,-7.6
19,MMSAA,201803,0,28,0,114.2,3,0,1.1,6.2,-2.9
20,MMSAA,201804,-,-,-,-,-,-,9.6,18.4,1.6
21,MMSAA,201805,-,-,-,-,-,-,-,-,-
22,MMSAA,201806,-,-,-,40.6,2,0,-,-,-
23,MMSAA,201807,-,-,-,-,-,-,-,-,-
24,MMSAA,201808,-,-,-,-,-,-,-,-,-
25,MMSAA,201809,-,-,-,-,-,-,-,-,-
26,MMSAA,201810,-,-,-,-,-,-,-,-,-
27,MMSAA,201811,1,18,0,5.8,0,0,2.5,6.9,-1.0
28,MMSAA,201812,6,19,0,-,8,0,-0.3,2.5,-3.0
29,MMSAA,201901,21,31,0,100.8,4,0,-4.9,-1.3,-8.6
30,MMSAA,201902,2,28,0,48.6,3,0,-2.4,5.0,-7.6
31,MMSAA,201903,-,-,-,-,-,-,-,-,-
32,MMSAA,201904,-,-,-,-,-,-,-,-,-
33,MMSAA,201905,-,-,-,97.6,4,0,8.5,13.6,3.7
34,MMSAA,201906,-,-,-,91.6,2,0,-,-,-
35,MMSAA,201907,0,0,5,92.6,3,0,18.3,25.6,11.2
36,MMSAA,201908,-,-,-,175.2,7,0,16.8,24.7,10.4
37,MMSAA,201909,-,-,-,-,-,-,13.1,-,-
38,MMSAA,201910,-,-,-,102.8,5,0,-,-,-
39,MMSAA,201911,2,19,0,100.6,3,0,1.6,5.5,-1.3
40,MMSAA,201912,-,-,-,116.6,6,0,-0.2,4.0,-3.5
41,MMSAA,202001,-,-,-,33.8,1,0,-3.4,0.2,-6.5
42,MMSAA,202002,0,24,0,-,-,-,1.1,7.3,-3.2
43,MMSAA,202003,0,27,0,-,-,-,2.7,8.9,-2.1
44,MMSAA,202004,0,9,0,46.8,2,0,9.2,17.6,1.5
45,MMSAA,202005,0,0,0,58.8,2,0,12.1,19.0,5.2
46,MMSAA,202006,0,0,0,118.2,2,0,13.7,20.1,8.0
47,MMSAA,202007,0,0,4,-,-,-,17.5,25.0,10.4
48,MMSAA,202008,-,-,-,116.4,5,0,16.6,24.3,10.0
49,MMSAA,202009,-,-,-,94.2,5,0,12.7,19.7,7.3
50,MMSAA,202010,0,5,0,113.4,4,0,6.1,11.5,2.0
51,MMSAA,202011,3,22,0,21.8,1,0,1.5,6.6,-1.8
52,MMSAA,202012,9,28,0,67.6,2,0,-2.1,1.0,-5.5
53,MMSAA,202101,-,-,-,183.6,5,0,-,-,-
54,MMSAA,202102,3,25,0,31.6,2,0,0.0,5.8,-4.1
55,MMSAA,202103,-,-,-,69.8,4,0,-,-,-
56,MMSAA,202104,-,-,-,-,-,-,-,-,-
57,MMSAA,202105,-,-,-,-,-,-,-,-,-
58,MMSAA,202106,-,-,-,117.8,5,0,-,-,-
59,MMSAA,202107,0,0,1,193.0,9,0,15.8,22.1,10.3
60,MMSAA,202108,-,-,-,67.8,3,0,15.0,21.5,9.6
61,MMSAA,202109,-,-,-,57.8,2,0,-,-,-
62,MMSAA,202110,-,-,-,26.6,1,0,-,-,-
63,stn,time,hns010mx,hns000m0,hto000m0,,,,,,
64,SLF1SM,201301,-,102,65,,,,,,
65,SLF1SM,201302,-,142,94,,,,,,
66,SLF1SM,201303,-,79,73,,,,,,
67,SLF1SM,201304,-,43,32,,,,,,
68,SLF1SM,201305,19,24,1,,,,,,
69,SLF1SM,201306,-,-,-,,,,,,
70,SLF1SM,201307,-,-,-,,,,,,
71,SLF1SM,201308,-,-,-,,,,,,
72,SLF1SM,201309,-,-,-,,,,,,
73,SLF1SM,201310,-,16,1,,,,,,
74,SLF1SM,201311,-,49,5,,,,,,
75,SLF1SM,201312,-,45,15,,,,,,
76,SLF1SM,201401,-,111,28,,,,,,
77,SLF1SM,201402,-,154,57,,,,,,
78,SLF1SM,201403,-,36,32,,,,,,
79,SLF1SM,201404,-,12,0,,,,,,
80,SLF1SM,201405,10,12,0,,,,,,
81,SLF1SM,201406,-,-,-,,,,,,
82,SLF1SM,201407,-,-,-,,,,,,
83,SLF1SM,201408,-,-,-,,,,,,
84,SLF1SM,201409,-,-,-,,,,,,
85,SLF1SM,201410,-,8,0,,,,,,
86,SLF1SM,201411,-,39,2,,,,,,
87,SLF1SM,201412,-,94,7,,,,,,
88,SLF1SM,201501,-,166,22,,,,,,
89,SLF1SM,201502,-,92,62,,,,,,
90,SLF1SM,201503,-,31,28,,,,,,
91,SLF1SM,201504,-,28,2,,,,,,
92,SLF1SM,201505,18,18,1,,,,,,
93,SLF1SM,201506,-,-,-,,,,,,
94,SLF1SM,201507,-,-,-,,,,,,
95,SLF1SM,201508,-,-,-,,,,,,
96,SLF1SM,201509,-,-,-,,,,,,
97,SLF1SM,201510,-,5,0,,,,,,
98,SLF1SM,201511,80,80,9,,,,,,
99,SLF1SM,201512,51,0,3,,,,,,
100,SLF1SM,201601,116,160,37,,,,,,
101,SLF1SM,201602,87,144,46,,,,,,
102,SLF1SM,201603,117,116,60,,,,,,
103,SLF1SM,201604,48,55,3,,,,,,
104,SLF1SM,201605,53,25,1,,,,,,
105,SLF1SM,201606,-,-,-,,,,,,
106,SLF1SM,201607,-,-,-,,,,,,
107,SLF1SM,201608,-,-,-,,,,,,
108,SLF1SM,201609,-,-,-,,,,,,
109,SLF1SM,201610,-,0,0,,,,,,
110,SLF1SM,201611,92,98,13,,,,,,
111,SLF1SM,201612,1,1,0,,,,,,
112,SLF1SM,201701,71,86,25,,,,,,
113,SLF1SM,201702,51,90,24,,,,,,
114,SLF1SM,201703,123,83,15,,,,,,
115,SLF1SM,201704,20,22,1,,,,,,
116,SLF1SM,201705,20,4,0,,,,,,
117,SLF1SM,201706,-,-,-,,,,,,
118,SLF1SM,201707,-,-,-,,,,,,
119,SLF1SM,201708,-,-,-,,,,,,
120,SLF1SM,201709,-,-,-,,,,,,
121,SLF1SM,201710,-,12,1,,,,,,
122,SLF1SM,201711,40,77,8,,,,,,
123,SLF1SM,201712,110,181,38,,,,,,
124,SLF1SM,201801,117,175,65,,,,,,
125,SLF1SM,201802,27,46,79,,,,,,
126,SLF1SM,201803,50,122,79,,,,,,
127,SLF1SM,201804,52,6,27,,,,,,
128,SLF1SM,201805,0,0,0,,,,,,
129,SLF1SM,201806,-,-,-,,,,,,
130,SLF1SM,201807,-,-,-,,,,,,
131,SLF1SM,201808,-,-,-,,,,,,
132,SLF1SM,201809,-,-,-,,,,,,
133,SLF1SM,201810,-,12,1,,,,,,
134,SLF1SM,201811,12,6,0,,,,,,
135,SLF1SM,201812,61,79,14,,,,,,
136,SLF1SM,201901,91,182,36,,,,,,
137,SLF1SM,201902,125,63,72,,,,,,
138,SLF1SM,201903,80,106,46,,,,,,
139,SLF1SM,201904,37,61,8,,,,,,
140,SLF1SM,201905,34,23,1,,,,,,
141,SLF1SM,201906,-,-,-,,,,,,
142,SLF1SM,201907,-,-,-,,,,,,
143,SLF1SM,201908,-,-,-,,,,,,
144,SLF1SM,201909,-,-,-,,,,,,
145,SLF1SM,201910,-,0,0,,,,,,
146,SLF1SM,201911,30,55,4,,,,,,
147,SLF1SM,201912,87,151,26,,,,,,
148,SLF1SM,202001,42,57,42,,,,,,
149,SLF1SM,202002,64,96,25,,,,,,
150,SLF1SM,202003,104,66,19,,,,,,
151,SLF1SM,202004,2,0,0,,,,,,
152,SLF1SM,202005,0,0,0,,,,,,
153,SLF1SM,202006,-,-,-,,,,,,
154,SLF1SM,202007,-,-,-,,,,,,
155,SLF1SM,202008,-,-,-,,,,,,
156,SLF1SM,202009,-,-,-,,,,,,
157,SLF1SM,202010,-,10,0,,,,,,
158,SLF1SM,202011,5,9,0,,,,,,
159,SLF1SM,202012,67,137,20,,,,,,
160,SLF1SM,202101,104,202,57,,,,,,
161,SLF1SM,202102,88,19,57,,,,,,
162,SLF1SM,202103,109,114,43,,,,,,
163,SLF1SM,202104,22,22,1,,,,,,
164,SLF1SM,202105,13,19,1,,,,,,
165,SLF1SM,202106,-,-,-,,,,,,
166,SLF1SM,202107,-,-,-,,,,,,
167,SLF1SM,202108,-,-,-,,,,,,
168,SLF1SM,202109,-,-,-,,,,,,
169,SLF1SM,202110,-,0,0,,,,,,
170,SLF1SM,202111,54,57,3,,,,,,
171,SLF1SM,202112,146,151,52,,,,,,
172,SLF1SM,202201,66,83,34,,,,,,
173,SLF1SM,202202,45,76,52,,,,,,
174,SLF1SM,202203,26,9,24,,,,,,
175,SLF1SM,202204,29,23,2,,,,,,
176,SLF1SM,202205,1,0,0,,,,,,
